# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	Textures\Simon.png	255	0	255
10	Textures\Whip.png	255	0	255
20	Textures\Ground.png	255	0	255
30	Textures\Candle.png	255	0	255
40	Textures\Items.png	255	0	255
50	Textures\SubWeapons.png	255	0	255
60	Textures\Effect.png	255	0	255
70	Textures\Spark.png	255	0	255
80	Textures\TitleScene.png	255	0	255
90	Textures\TitleBat.png	0	0	0
100	Textures\Board.png	255	0	255
110	Textures\HP.png	255	0	255
120	Textures\Texts.png	255	0	255
130	Textures\Stair.png	255	0	255
# id	left	top	right	bottom	texture_id
[SPRITES]
#0
914	576	224	720	336	90
915	432	224	576	336	90
#Stair====
1000	0	0	32	32	130
1001	32	0	64	32	130			
# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]

# ==== Simon =========
#idle 
1	10	100
#walk
2	20	100	30	100	40	100	10	100
#jump
3	50	100
#sit
4	60	100
#stand atk
5	70	100	80	100	90	100
#sit atk
6	100	100	110	100	120	100
#henshin
7	130	100	140	100	150	100
#stairdown
8	160	100	170	100
#stairup
9	180	100	190	100
# === Whip =========
#nor whip
20	200	100	210	100	220	100
#short whip
21	230	100	240	100	250	100
#long whip
22	260	100	270	100	280	100
# ==== BRICK =========
30	300	100
#map2 brick
31	310	100
# ==== Candle =========
# big
35	400	100	410	100
# small
36	420	100	430	100
# ==== Items  =========
# Small Heart
50	500	100
# Large Heart
51	501	100
# Money 
52	502	100
53	503	100
54	504	100
# Chain
55	506	100
# Dagger,watch,axe,boomerang,holywater
56	507	100
57	508	100
58	509	100
59	510	100
60	511	100
# double,tri
61	512	100
62	513	100
63	505	100
64	514	100
65	515	100
66	516	100	517	100
67	518	100	519	100
# ==== SubWeapons =======
#Dagger
80	600	100
81	620	100	621	100	622	100	623	100
82	624	100	625	100	626	100
83	627	100
84	628	100	629	100
# ==== Title =======
#TitleBat
90	900	100	901	100	902	100	903	100	904	100	905	100	906	100	907	100	908	100	909	100	910	100	911	100	912	100	913	100	914	100	915	100
#
# id	ani1	ani2	ani3
#
# ==== Effect =======
#1
70	700	100	701	100	702	100
#Spark
72	706	100
#HUD
100	1	0
101	2	0
102	3	0
103	4	0
#stair
120	1000	100
121	1001	100
[ANIMATION_SETS]
# Simon
1	1	2	3	4	5	6	7	8	9
# BRICK 
2	30	31
#Candle
3	35	36	70
#Whip
4	20	21	22
#Items
5	50	51	52	53	54	65	55	57	56	58	59	60	64	63	61	62	66	67
#SubWeapons
6	80	81	82	83	84
#stair
7	120	121
[TILEMAP]
10000	Map\Scene1.png	Map\Scene1_map.txt	1536	320	4	17
20000	Map\Scene2.png	Map\Scene2_1_map.txt	512	384	4	7
[START]
1	2
[MAP]
1	Scene\scene1.txt	0	0
2	Scene\scene2_1.txt	0	0
